country,continent,date,total_cases,total_deaths,population,median_age,diabetes_prevalence,latitude,longitude
Afghanistan,Asia,10/26/2020,40833,1514,38928341,18.6,9.59,33.93911,67.709953
Albania,Europe,10/26/2020,19157,477,2877800,38,10.08,41.153332,20.168331
Algeria,Africa,10/26/2020,56143,1914,43851043,29.1,6.73,28.033886,1.659626
Andorra,Europe,10/26/2020,4038,69,77265,NA,7.97,42.546245,1.601554
Angola,Africa,10/26/2020,9026,267,32866268,16.8,3.94,-11.202692,17.873887
Anguilla,North America,10/26/2020,3,0,15002,NA,NA,18.220554,-63.068615
Antigua and Barbuda,North America,10/26/2020,124,3,97928,32.1,13.17,17.060816,-61.796428
Argentina,South America,10/26/2020,1090576,28896,45195777,31.9,5.5,-38.416097,-63.616672
Armenia,Asia,10/26/2020,78810,1196,2963234,35.7,7.11,40.069099,45.038189
Aruba,North America,10/26/2020,4420,36,106766,41.2,11.62,12.52111,-69.968338
Australia,Oceania,10/26/2020,27520,905,25499881,37.9,5.07,-25.274398,133.775136
Austria,Europe,10/26/2020,82536,984,9006400,44.4,6.35,47.516231,14.550072
Azerbaijan,Asia,10/26/2020,49959,671,10139175,32.4,7.11,40.143105,47.576927
Bahamas,North America,10/26/2020,6410,132,393248,34.3,13.17,25.03428,-77.39628
Bahrain,Asia,10/26/2020,80255,312,1701583,32.4,16.52,25.930414,50.637772
Bangladesh,Asia,10/26/2020,398815,5803,164689383,27.5,8.38,23.684994,90.356331
Barbados,North America,10/26/2020,227,7,287371,39.8,13.57,13.193887,-59.543198
Belarus,Europe,10/26/2020,92823,957,9449321,40.3,5.18,53.709807,27.953389
Belize,North America,10/26/2020,3145,50,397621,25,17.11,17.189877,-88.49765
Benin,Africa,10/26/2020,2557,41,12123198,18.8,0.99,9.30769,2.315834
Bermuda,North America,10/26/2020,191,9,62273,NA,13,32.321384,-64.75737
Bhutan,Asia,10/26/2020,342,0,771612,28.6,9.75,27.514162,90.433601
Bolivia,South America,10/26/2020,140853,8645,11673029,25.4,6.89,-16.290154,-63.588653
Bosnia and Herzegovina,Europe,10/26/2020,40893,1086,3280815,42.5,10.08,43.915886,17.679076
Botswana,Africa,10/26/2020,5923,21,2351625,25.8,4.81,-22.328474,24.684866
Brazil,South America,10/26/2020,5394128,157134,212559409,33.5,8.11,-14.235004,-51.92528
British Virgin Islands,North America,10/26/2020,72,1,30237,NA,13.67,18.420695,-64.639968
Brunei,Asia,10/26/2020,148,3,437483,32.4,12.79,4.535277,114.727669
Bulgaria,Europe,10/26/2020,37889,1094,6948445,44.7,5.81,42.733883,25.48583
Burkina Faso,Africa,10/26/2020,2451,65,20903278,17.6,2.42,12.238333,-1.561593
Burundi,Africa,10/26/2020,556,1,11890781,17.5,6.05,-3.373056,29.918886
Cambodia,Asia,10/26/2020,287,0,16718971,25.6,4,12.565679,104.990963
Cameroon,Africa,10/26/2020,21570,425,26545864,18.8,7.2,7.369722,12.354722
Canada,North America,10/26/2020,216104,9946,37742157,41.4,7.37,56.130366,-106.346771
Cape Verde,Africa,10/26/2020,8396,94,555988,25.7,2.42,16.002082,-24.013197
Cayman Islands,North America,10/26/2020,239,1,65720,NA,13.22,19.513469,-80.566956
Central African Republic,Africa,10/26/2020,4862,62,4829764,18.3,6.1,6.611111,20.939444
Chad,Africa,10/26/2020,1437,96,16425859,16.7,6.1,15.454166,18.732207
