Country,Date,NewCases,NewDeaths
Brazil,1/1/2020,0,0
Brazil,1/2/2020,0,0
Brazil,1/3/2020,0,0
Brazil,1/4/2020,0,0
Brazil,1/5/2020,0,0
Brazil,1/6/2020,0,0
Brazil,1/7/2020,0,0
Brazil,1/8/2020,0,0
Brazil,1/9/2020,0,0
Brazil,1/10/2020,0,0
Brazil,1/11/2020,0,0
Brazil,1/12/2020,0,0
Brazil,1/13/2020,0,0
Brazil,1/14/2020,0,0
Brazil,1/15/2020,0,0
Brazil,1/16/2020,0,0
Brazil,1/17/2020,0,0
Brazil,1/18/2020,0,0
Brazil,1/19/2020,0,0
Brazil,1/20/2020,0,0
Brazil,1/21/2020,0,0
Brazil,1/22/2020,0,0
Brazil,1/23/2020,0,0
Brazil,1/24/2020,0,0
Brazil,1/25/2020,0,0
Brazil,1/26/2020,0,0
Brazil,1/27/2020,0,0
Brazil,1/28/2020,0,0
Brazil,1/29/2020,0,0
Brazil,1/30/2020,0,0
Brazil,1/31/2020,0,0
Brazil,2/1/2020,0,0
Brazil,2/2/2020,0,0
Brazil,2/3/2020,0,0
Brazil,2/4/2020,0,0
Brazil,2/5/2020,0,0
Brazil,2/6/2020,0,0
Brazil,2/7/2020,0,0
Brazil,2/8/2020,0,0
Brazil,2/9/2020,0,0
Brazil,2/10/2020,0,0
Brazil,2/11/2020,0,0
Brazil,2/12/2020,0,0
Brazil,2/13/2020,0,0
Brazil,2/14/2020,0,0
Brazil,2/15/2020,0,0
Brazil,2/16/2020,0,0
Brazil,2/17/2020,0,0
Brazil,2/18/2020,0,0
Brazil,2/19/2020,0,0
Brazil,2/20/2020,0,0
Brazil,2/21/2020,0,0
Brazil,2/22/2020,0,0
Brazil,2/23/2020,0,0
Brazil,2/24/2020,0,0
Brazil,2/25/2020,0,0
Brazil,2/26/2020,1,0
Brazil,2/27/2020,0,0
Brazil,2/28/2020,0,0
Brazil,2/29/2020,0,0
Brazil,3/1/2020,1,0
Brazil,3/2/2020,0,0
Brazil,3/3/2020,0,0
Brazil,3/4/2020,0,0
Brazil,3/5/2020,1,0
Brazil,3/6/2020,5,0
Brazil,3/7/2020,5,0
Brazil,3/8/2020,0,0
Brazil,3/9/2020,12,0
Brazil,3/10/2020,0,0
Brazil,3/11/2020,9,0
Brazil,3/12/2020,18,0
Brazil,3/13/2020,25,0
Brazil,3/14/2020,21,0
Brazil,3/15/2020,23,0
Brazil,3/16/2020,79,0
Brazil,3/17/2020,34,0
Brazil,3/18/2020,57,1
Brazil,3/19/2020,137,3
Brazil,3/20/2020,193,2
Brazil,3/21/2020,283,5
Brazil,3/22/2020,224,7
Brazil,3/23/2020,418,7
Brazil,3/24/2020,345,9
Brazil,3/25/2020,310,12
Brazil,3/26/2020,232,11
Brazil,3/27/2020,482,20
Brazil,3/28/2020,502,15
Brazil,3/29/2020,487,22
Brazil,3/30/2020,352,22
Brazil,3/31/2020,323,23
Brazil,4/1/2020,1138,42
Brazil,4/2/2020,1119,40
Brazil,4/3/2020,1074,58
Brazil,4/4/2020,1146,60
Brazil,4/5/2020,1222,73
Brazil,4/6/2020,852,54
Brazil,4/7/2020,926,67
Brazil,4/8/2020,1661,114
Brazil,4/9/2020,2210,133
Brazil,4/10/2020,1930,141
Brazil,4/11/2020,1781,115
Brazil,4/12/2020,1089,68
Brazil,4/13/2020,1442,99
Brazil,4/14/2020,1261,105
Brazil,4/15/2020,1832,204
Brazil,4/16/2020,3058,204
Brazil,4/17/2020,2105,188
Brazil,4/18/2020,3257,217
Brazil,4/19/2020,2917,206
Brazil,4/20/2020,2055,115
Brazil,4/21/2020,1927,113
Brazil,4/22/2020,2498,166
Brazil,4/23/2020,2678,165
Brazil,4/24/2020,3735,407
Brazil,4/25/2020,3503,357
Brazil,4/26/2020,5514,346
Brazil,4/27/2020,3379,189
Brazil,4/28/2020,4613,338
Brazil,4/29/2020,5385,474
Brazil,4/30/2020,6276,449
Brazil,5/1/2020,7218,435
Brazil,5/2/2020,6209,428
Brazil,5/3/2020,4970,421
Brazil,5/4/2020,4588,275
Brazil,5/5/2020,6633,296
Brazil,5/6/2020,6935,600
Brazil,5/7/2020,10503,615
Brazil,5/8/2020,9888,610
Brazil,5/9/2020,10222,751
Brazil,5/10/2020,10611,730
Brazil,5/11/2020,6760,496
Brazil,5/12/2020,5632,396
Brazil,5/13/2020,9258,881
Brazil,5/14/2020,11385,749
Brazil,5/15/2020,13944,844
Brazil,5/16/2020,15305,824
Brazil,5/17/2020,14919,816
Brazil,5/18/2020,7938,485
Brazil,5/19/2020,13140,674
Brazil,5/20/2020,17408,1179
Brazil,5/21/2020,19951,888
Brazil,5/22/2020,18508,1188
Brazil,5/23/2020,20803,1001
Brazil,5/24/2020,16508,965
